 XYZ	date	basin	area	DL1	DL2	DL3	DL4	NA	P1	P2	P3	PE
26766FermeNAAval?5887824532830	12/04/1973	Ferme	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
26768NorvegienneP2Pool2.endessouslimiteavalsecteur15973134533662	14/04/1973	Norvegienne	93	NA	NA	NA	NA	NA	NA	NA	NA	4
26768NorvegienneP3Pool3.audessuslimiteavalsecteur15973494533786	14/04/1973	Norvegienne	181	NA	NA	NA	NA	NA	NA	NA	NA	6
26768NorvegienneP4+5Pool4+Pool5=exPool4.audessusdupiegeetendessouslimiteavalsecteur25972624533865	14/04/1973	Norvegienne	296	NA	NA	NA	NA	NA	NA	NA	NA	3
26768NorvegienneP6Pool6.exPool5.audessuslimiteavalsecteur2.dansretourtresprofond5973224534096	14/04/1973	Norvegienne	51	NA	NA	NA	NA	NA	NA	NA	NA	4
26768NorvegienneP7Pool7environ50mdelongaumilieudusecteur25972874534181	14/04/1973	Norvegienne	241	NA	NA	NA	NA	NA	NA	NA	NA	8
26769NorvegienneP10Pool10.exPool95972594534666	15/04/1973	Norvegienne	147	NA	NA	NA	NA	NA	NA	NA	NA	6
26769NorvegienneP11Pool11.expool105971924534609	15/04/1973	Norvegienne	35	NA	NA	NA	NA	NA	NA	NA	NA	3
26769NorvegienneP8Pool8.expool7.grandpoolendessouslimiteamontdusecteur25972574534387	15/04/1973	Norvegienne	418	NA	NA	NA	NA	NA	NA	NA	NA	11
26769NorvegienneP9Pool9.exPool8.au-dessuslimiteamontsecteur25973134534572	15/04/1973	Norvegienne	211	NA	NA	NA	NA	NA	NA	NA	NA	15
26770ChateauNA2epetitaffluentau-dessusdugrandcoude.2eaffluentrivegauchetrou5937874533929	16/04/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
26770ChateauNA2epetitaffluentau-dessusdugrandcoude.troual'embouchure2epetitruisseaurivegauche5942104533960	16/04/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
26770ChateauNAGrandcouderivedroite.dansrapidesprofondsouj'aipris1erbain5959574534061	16/04/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
26770ChateauNAGrandvirageaval5955134533372	16/04/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
26807NorvegienneP1Pool15974824533590	23/05/1973	Norvegienne	151	NA	NA	NA	NA	NA	NA	NA	NA	3
26807NorvegienneP2Pool25973134533662	23/05/1973	Norvegienne	93	NA	NA	NA	NA	NA	NA	NA	NA	3
26807NorvegienneP3Pool35973494533786	23/05/1973	Norvegienne	181	NA	NA	NA	NA	NA	NA	NA	NA	2
26807NorvegienneP4+5Pool4+Pool5=exPool4.audessusdupiegeetendessouslimiteavalsecteur25972624533865	23/05/1973	Norvegienne	296	NA	NA	NA	NA	NA	NA	NA	NA	2
26807NorvegienneP7Pool7.exPool6.environ50mdelongaumilieudusecteur25972874534181	23/05/1973	Norvegienne	241	NA	NA	NA	NA	NA	NA	NA	NA	2
26807NorvegienneP8Pool8.expool75972574534387	23/05/1973	Norvegienne	418	NA	NA	NA	NA	NA	NA	NA	NA	18
26807NorvegienneP9Pool9.exPool8.au-dessuslimiteamontsecteur25973134534572	23/05/1973	Norvegienne	211	NA	NA	NA	NA	NA	NA	NA	NA	1
26808NorvegienneP12+13Pools12et13.expools11et125970744534632	24/05/1973	Norvegienne	240	NA	NA	NA	NA	NA	NA	NA	NA	14
26808NorvegienneP9+10+11Pools9.10et11;expools8.9.105972594534666	24/05/1973	Norvegienne	393	NA	NA	NA	NA	NA	NA	NA	NA	17
26809AlbatrosNAAval6003314532742	25/05/1973	Albatros	NA	NA	NA	NA	NA	NA	NA	NA	NA	14
26820ChateauNAPetitaffluentpresdelaconfluenceChateauaval5959944534131	05/06/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	17
26824Studer1DeversoirLac1.sous-secteur1(delalimiteavalau+grandpoolinclus)5729794542417	09/06/1973	Studer	1335	NA	NA	NA	NA	NA	43	19	NA	NA
26825StuderSS2DeversoirLac1.sous-secteur2(dugrandpoolnoninclualazonecalmeamont)5732884542043	10/06/1973	Studer	NA	NA	NA	NA	NA	NA	NA	NA	NA	36
26831NorvegienneP10Pool10.exPool95972594534666	16/06/1973	Norvegienne	147	NA	NA	NA	NA	NA	NA	NA	NA	7
26831NorvegienneP12+13Pools12et13.expools11et125970744534632	16/06/1973	Norvegienne	240	NA	NA	NA	NA	NA	NA	NA	NA	1
26831NorvegienneP12Pool12.exPool115970744534632	16/06/1973	Norvegienne	17	NA	NA	NA	NA	NA	NA	NA	NA	9
26831NorvegienneP1Pool15974824533590	16/06/1973	Norvegienne	151	NA	NA	NA	NA	NA	NA	NA	NA	2
26831NorvegienneP2Pool25973134533662	16/06/1973	Norvegienne	93	NA	NA	NA	NA	NA	NA	NA	NA	2
26831NorvegienneP4+5Pool4+Pool5=exPool4.audessusdupiegeetendessouslimiteavalsecteur25972624533865	16/06/1973	Norvegienne	296	NA	NA	NA	NA	NA	NA	NA	NA	5
26831NorvegienneP8+9Pools8et9.exPools7et85972574534387	16/06/1973	Norvegienne	629	NA	NA	NA	NA	NA	NA	NA	NA	5
